+-----------+---------+----------------+----------+------------+
|   OPCODE  | CHANNEL |      REG       | RAM ADDR |  RAW DATA  |
+-----------+---------+----------------+----------+------------+
|    READ   |    X    |      IRQ2      |          |   0xffff   |
|    READ   |    X    |     ID(g)      |          |   0xcbcb   |
|   WRITE   |    X    |    PCMRXLO     |          |   0x5a5a   |
|    READ   |    X    |    PCMRXLO     |          |   0x5a5a   |
|    READ   |    X    |     ID(g)      |          |   0xcbcb   |
|    READ   |    X    |    ENHANCE     |          |   0x1010   |
|   WRITE   |    X    |    PCMTXHI     |          |   0x1313   |
|    READ   |    X    |    PCMTXHI     |          |   0x1313   |
|   WRITE   |    X    |  MSTRSTAT(g)   |          |   0xffff   |
|    READ   |    X    |  MSTRSTAT(g)   |          |   0x1f1f   |
|   WRITE   |    X    |    PCMTXHI     |          |   0x1313   |
|    READ   |    X    |    PCMTXHI     |          |   0x1313   |
| RAM-WRITE |    X    |                |  0x1c1   | 0x12345678 |
|  RAM-READ |    X    |                |  0x1c1   | 0x12345678 |
|    READ   |    X    | Unknown (0x7e) |          |   0x303    |
|   WRITE   |    X    |     JMPEN      |          |    0x0     |
| RAM-WRITE |    X    |                |  0x320   |  0x200000  |
| RAM-WRITE |    X    |                |  0x2b6   |  0x80000   |
| RAM-WRITE |    X    |                |  0x2b7   |  0x200000  |
| RAM-WRITE |    X    |                |  0x31b   |  0x180000  |
| RAM-WRITE |    X    |                |  0x392   | 0x7fcfdda  |
| RAM-WRITE |    X    |                |  0x37c   |  0x400000  |
| RAM-WRITE |    X    |                |  0x37d   |    0x0     |
| RAM-WRITE |    X    |                |  0x14d   |    0x0     |
| RAM-WRITE |    X    |                |  0x14e   |    0x0     |
| RAM-WRITE |    X    |                |  0x160   |    0x0     |
| RAM-WRITE |    X    |                |   0xe2   |  0x35d540  |
| RAM-WRITE |    X    |                |  0x1b0   |    0x0     |
| RAM-WRITE |    X    |                |  0x1b1   |    0x0     |
| RAM-WRITE |    X    |                |  0x1b2   |    0x0     |
| RAM-WRITE |    X    |                |  0x1b5   |    0x0     |
| RAM-WRITE |    X    |                |  0x1c2   |    0x0     |
|   WRITE   |    X    |     JMPEN      |          |   0x101    |
|    READ   |    X    | Unknown (0x7e) |          |   0x303    |
|   WRITE   |    X    |    ENHANCE     |          |    0x0     |
|   WRITE   |    X    |    AUTO(g)     |          |   0x2f2f   |
| RAM-WRITE |    X    |                |  0x2fc   |  0xad000   |
| RAM-WRITE |    X    |                |  0x300   | 0x6666635  |
| RAM-WRITE |    X    |                |  0x2ff   | 0x3d70a20  |
| RAM-WRITE |    X    |                |  0x393   | 0xfff0000  |
| RAM-WRITE |    X    |                |  0x394   | 0x1999a00  |
| RAM-WRITE |    X    |                |  0x397   |  0xf00000  |
| RAM-WRITE |    X    |                |  0x398   |  0xf00000  |
| RAM-WRITE |    X    |                |  0x3ca   |  0x800000  |
| RAM-WRITE |    X    |                |  0x3ec   |  0xf18900  |
| RAM-WRITE |    X    |                |  0x3ed   |  0x809d80  |
| RAM-WRITE |    X    |                |  0x3ee   |    0x0     |
| RAM-WRITE |    X    |                |  0x3ef   | 0x1a00000  |
| RAM-WRITE |    X    |                |  0x604   |  0x400000  |
| RAM-WRITE |    X    |                |  0x605   |  0x400000  |
| RAM-WRITE |    X    |                |  0x606   |  0x200000  |
| RAM-WRITE |    X    |                |  0x609   |  0x500000  |
| RAM-WRITE |    X    |                |  0x60a   |    0x0     |
| RAM-WRITE |    X    |                |  0x60b   |  0xa00000  |
| RAM-WRITE |    X    |                |  0x612   |    0x0     |
| RAM-WRITE |    X    |                |  0x616   |    0x0     |
| RAM-WRITE |    X    |                |  0x618   |  0x200000  |
| RAM-WRITE |    X    |                |  0x631   |  0x300000  |
| RAM-WRITE |    X    |                |  0x632   |  0x180000  |
| RAM-WRITE |    X    |                |  0x633   |  0x100000  |
| RAM-WRITE |    X    |                |  0x634   | 0x12fc000  |
| RAM-WRITE |    X    |                |  0x635   |  0xf00000  |
| RAM-WRITE |    X    |                |  0x636   | 0xfda4000  |
| RAM-WRITE |    X    |                |  0x2f7   | 0x7feb800  |
| RAM-WRITE |    X    |                |  0x2f4   |  0x5b05b2  |
| RAM-WRITE |    X    |                |  0x3c7   | 0x3a2e8ba  |
| RAM-WRITE |    X    |                |  0x3fa   | 0x3000000  |
| RAM-WRITE |    X    |                |  0x3f9   | 0x5000000  |
| RAM-WRITE |    X    |                |  0x3f5   | 0x1000000  |
| RAM-WRITE |    X    |                |  0x3f4   | 0x3700000  |
| RAM-WRITE |    X    |                |  0x3f3   | 0x4b80200  |
| RAM-WRITE |    X    |                |  0x3f2   |  0x823000  |
|    READ   |    X    | Unknown (0x44) |          |   0xe0e0   |
|   WRITE   |    X    | Unknown (0x44) |          |   0xe0e0   |
|   WRITE   |    X    |      PDN       |          |   0x8080   |
| RAM-WRITE |    X    |                |  0x215   | 0x71eb851  |
| RAM-WRITE |    X    |                |  0x272   | 0x723f235  |
| RAM-WRITE |    X    |                |  0x273   | 0x57a9804  |
| RAM-WRITE |    X    |                |  0x396   |  0x36000   |
| RAM-WRITE |    X    |                |  0x650   | 0x1100000  |
| RAM-WRITE |    X    |                |  0x3cd   |  0xffffff  |
| RAM-WRITE |    X    |                |  0x3ce   |  0xa18937  |
| RAM-WRITE |    X    |                |  0x3cf   |  0xe49ba5  |
| RAM-WRITE |    X    |                |  0x204   |  0x10038d  |
| RAM-WRITE |    X    |                |  0x201   |  0x4eddb9  |
| RAM-WRITE |    X    |                |  0x202   |  0x806d6   |
| RAM-WRITE |    X    |                |  0x205   |  0x10059f  |
| RAM-WRITE |    X    |                |  0x2c4   |  0xf0000   |
| RAM-WRITE |    X    |                |  0x2c5   |  0x106240  |
|  RAM-READ |    X    |                |  0x627   | 0xac3ffbc  |
| RAM-WRITE |    X    |                |  0x627   | 0xac3ffbc  |
| RAM-WRITE |    X    |                |  0x669   |  0x200000  |
| RAM-WRITE |    X    |                |  0x66b   |    0x0     |
| RAM-WRITE |    X    |                |  0x61d   |  0xc00000  |
| RAM-WRITE |    X    |                |  0x2ee   |  0x206280  |
| RAM-WRITE |    X    |                |  0x663   |    0x0     |
| RAM-WRITE |    X    |                |  0x3cb   | 0x1f00000  |
| RAM-WRITE |    X    |                |  0x3cc   |  0x51eb80  |
| RAM-WRITE |    X    |                |  0x611   |    0x0     |
| RAM-WRITE |    X    |                |  0x35c   |  0xa00000  |
|   WRITE   |    X    |     CALR0      |          |    0x0     |
|   WRITE   |    X    |     CALR1      |          |    0x0     |
