+--------+---------+----------------+------------+----------+
| OPCODE | CHANNEL |      REG       | RAW OPCODE | RAW DATA |
+--------+---------+----------------+------------+----------+
|  READ  |    0    |      IRQ2      |   0x6013   |  0xffff  |
|  READ  |    1    |      IRQ2      |   0x7013   |  0xffff  |
|  READ  |    0    |       ID       |   0x6000   |  0xcbcb  |
| WRITE  |    0    |    PCMRXLO     |   0x200e   |  0x5a5a  |
|  READ  |    0    |    PCMRXLO     |   0x600e   |  0x5a5a  |
|  READ  |    1    |       ID       |   0x7000   |  0xcbcb  |
| WRITE  |    1    |    PCMRXLO     |   0x300e   |  0x5a5a  |
|  READ  |    1    |    PCMRXLO     |   0x700e   |  0x5a5a  |
|  READ  |    0    |       ID       |   0x6000   |  0xcbcb  |
|  READ  |    0    |    ENHANCE     |   0x602f   |  0x1010  |
| WRITE  |    0    |    PCMTXHI     |   0x200d   |  0x1313  |
|  READ  |    0    |    PCMTXHI     |   0x600d   |  0x1313  |
|  READ  |    1    |       ID       |   0x7000   |  0xcbcb  |
|  READ  |    1    |    ENHANCE     |   0x702f   |  0x1010  |
| WRITE  |    1    |    PCMTXHI     |   0x300d   |  0x1313  |
|  READ  |    1    |    PCMTXHI     |   0x700d   |  0x1313  |
| WRITE  |    0    |    MSTRSTAT    |   0x2003   |  0xffff  |
|  READ  |    0    |    MSTRSTAT    |   0x6003   |  0x1f1f  |
| WRITE  |    0    |    PCMTXHI     |   0x200d   |  0x1313  |
|  READ  |    0    |    PCMTXHI     |   0x600d   |  0x1313  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0x2020  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |  0xc0c0  |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |  0xb3b3  |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |  0xa2a2  |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |  0x9191  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0xc1c1  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0x2020  |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0xc1c1  |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
|  READ  |    0    |  RAM_DATA_B3   |   0x6009   |  0x9191  |
|  READ  |    0    |  RAM_DATA_B2   |   0x6008   |  0xa2a2  |
|  READ  |    0    |  RAM_DATA_B1   |   0x6007   |  0xb3b3  |
|  READ  |    0    |  RAM_DATA_B0   |   0x6006   |  0xc0c0  |
| WRITE  |    1    |    MSTRSTAT    |   0x3003   |  0xffff  |
|  READ  |    1    |    MSTRSTAT    |   0x7003   |  0x1f1f  |
| WRITE  |    1    |    PCMTXHI     |   0x300d   |  0x1313  |
|  READ  |    1    |    PCMTXHI     |   0x700d   |  0x1313  |
|  READ  |    1    |    RAMSTAT     |   0x7004   |   0x0    |
| WRITE  |    1    |  RAM_ADDR_HI   |   0x3005   |  0x2020  |
| WRITE  |    1    |  RAM_DATA_B0   |   0x3006   |  0xc0c0  |
| WRITE  |    1    |  RAM_DATA_B1   |   0x3007   |  0xb3b3  |
| WRITE  |    1    |  RAM_DATA_B2   |   0x3008   |  0xa2a2  |
| WRITE  |    1    |  RAM_DATA_B3   |   0x3009   |  0x9191  |
| WRITE  |    1    |  RAM_ADDR_LO   |   0x300a   |  0xc1c1  |
|  READ  |    1    |    RAMSTAT     |   0x7004   |   0x0    |
|  READ  |    1    |    RAMSTAT     |   0x7004   |   0x0    |
| WRITE  |    1    |  RAM_ADDR_HI   |   0x3005   |  0x2020  |
| WRITE  |    1    |  RAM_ADDR_LO   |   0x300a   |  0xc1c1  |
|  READ  |    1    |    RAMSTAT     |   0x7004   |   0x0    |
|  READ  |    1    |  RAM_DATA_B3   |   0x7009   |  0x9191  |
|  READ  |    1    |  RAM_DATA_B2   |   0x7008   |  0xa2a2  |
|  READ  |    1    |  RAM_DATA_B1   |   0x7007   |  0xb3b3  |
|  READ  |    1    |  RAM_DATA_B0   |   0x7006   |  0xc0c0  |
|  READ  |    0    | Unknown (0x7e) |   0x607e   |  0x202   |
| WRITE  |    0    | Unknown (0x7e) |   0x207e   |  0x202   |
| WRITE  |    0    | Unknown (0x7e) |   0x207e   |  0x808   |
| WRITE  |    0    | Unknown (0x7e) |   0x207e   |  0xe0e   |
| WRITE  |    0    | Unknown (0x7e) |   0x207e   |   0x0    |
| WRITE  |    0    |     JMPEN      |   0x2051   |   0x0    |
| WRITE  |    0    |     JMP0LO     |   0x2052   |   0x0    |
| WRITE  |    0    |     JMP0HI     |   0x2053   |   0x0    |
| WRITE  |    0    |     JMP1LO     |   0x2054   |   0x0    |
| WRITE  |    0    |     JMP1HI     |   0x2055   |   0x0    |
| WRITE  |    0    |     JMP2LO     |   0x2056   |   0x0    |
| WRITE  |    0    |     JMP2HI     |   0x2057   |   0x0    |
| WRITE  |    0    |     JMP3LO     |   0x2058   |   0x0    |
| WRITE  |    0    |     JMP3HI     |   0x2059   |   0x0    |
| WRITE  |    0    |     JMP4LO     |   0x205a   |   0x0    |
| WRITE  |    0    |     JMP4HI     |   0x205b   |   0x0    |
| WRITE  |    0    |     JMP5LO     |   0x205c   |   0x0    |
| WRITE  |    0    |     JMP5HI     |   0x205d   |   0x0    |
| WRITE  |    0    |     JMP6LO     |   0x205e   |   0x0    |
| WRITE  |    0    |     JMP6HI     |   0x205f   |   0x0    |
| WRITE  |    0    |     JMP7LO     |   0x2060   |   0x0    |
| WRITE  |    0    |     JMP7HI     |   0x2061   |   0x0    |
|  READ  |    0    |    RAMSTAT     |   0x6004   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_HI   |   0x2005   |  0xc0c0  |
| WRITE  |    0    |  RAM_DATA_B0   |   0x2006   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B1   |   0x2007   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B2   |   0x2008   |   0x0    |
| WRITE  |    0    |  RAM_DATA_B3   |   0x2009   |   0x0    |
| WRITE  |    0    |  RAM_ADDR_LO   |   0x200a   |  0x3d3d  |
