+-----------+---------+----------------+----------+------------+----------+
|   OPCODE  | CHANNEL |      REG       | RAM_ADDR |  RAW_DATA  | DELAY_MS |
+-----------+---------+----------------+----------+------------+----------+
| RAM-WRITE |    0    |                |  0x1c1   | 0x12345678 |  0.000   |
|  RAM-READ |    0    |                |  0x1c1   | 0x12345678 |  0.321   |
|    READ   |    0    |     ID(g)      |          |   0xcbcb   | 2036.507 |
|    READ   |    1    |     ID(g)      |          |   0xcbcb   |  0.126   |
|    READ   |    0    |     ID(g)      |          |   0xcbcb   |  0.156   |
|    READ   |    0    |    ENHANCE     |          |   0x1010   |  0.078   |
|   WRITE   |    0    |    PCMTXHI     |          |   0x1313   |  0.071   |
|    READ   |    0    |    PCMTXHI     |          |   0x1313   |  10.153  |
|    READ   |    1    |     ID(g)      |          |   0xcbcb   |  0.065   |
|    READ   |    1    |    ENHANCE     |          |   0x1010   |  0.060   |
|   WRITE   |    1    |    PCMTXHI     |          |   0x1313   |  0.057   |
|    READ   |    1    |    PCMTXHI     |          |   0x1313   |  10.152  |
|   WRITE   |    0    |  MSTRSTAT(g)   |          |   0xffff   |  0.127   |
|    READ   |    0    |  MSTRSTAT(g)   |          |   0x1f1f   |  0.054   |
|   WRITE   |    0    |    PCMTXHI     |          |   0x1313   |  0.064   |
|    READ   |    0    |    PCMTXHI     |          |   0x1313   |  10.162  |
| RAM-WRITE |    0    |                |  0x1c1   | 0x12345678 |  0.077   |
|  RAM-READ |    0    |                |  0x1c1   | 0x12345678 |  0.303   |
|   WRITE   |    1    |  MSTRSTAT(g)   |          |   0xffff   |  0.307   |
|    READ   |    1    |  MSTRSTAT(g)   |          |   0x1f1f   |  0.059   |
|   WRITE   |    1    |    PCMTXHI     |          |   0x1313   |  0.057   |
|    READ   |    1    |    PCMTXHI     |          |   0x1313   |  10.160  |
| RAM-WRITE |    1    |                |  0x1c1   | 0x12345678 |  0.066   |
|  RAM-READ |    1    |                |  0x1c1   | 0x12345678 |  0.316   |
|    READ   |    0    | Unknown (0x7e) |          |   0x202    |  0.417   |
|   WRITE   |    0    | Unknown (0x7e) |          |   0x202    |  0.062   |
|   WRITE   |    0    | Unknown (0x7e) |          |   0x808    |  0.062   |
|   WRITE   |    0    | Unknown (0x7e) |          |   0xe0e    |  0.053   |
|   WRITE   |    0    | Unknown (0x7e) |          |    0x0     |  0.053   |
|   WRITE   |    0    |     JMPEN      |          |    0x0     |  0.057   |
|   WRITE   |    0    |     JMP0LO     |          |    0x0     |  0.102   |
|   WRITE   |    0    |     JMP0HI     |          |    0x0     |  0.055   |
|   WRITE   |    0    |     JMP1LO     |          |    0x0     |  0.054   |
|   WRITE   |    0    |     JMP1HI     |          |    0x0     |  0.057   |
|   WRITE   |    0    |     JMP2LO     |          |    0x0     |  0.053   |
|   WRITE   |    0    |     JMP2HI     |          |    0x0     |  0.057   |
|   WRITE   |    0    |     JMP3LO     |          |    0x0     |  0.054   |
|   WRITE   |    0    |     JMP3HI     |          |    0x0     |  0.056   |
|   WRITE   |    0    |     JMP4LO     |          |    0x0     |  0.052   |
|   WRITE   |    0    |     JMP4HI     |          |    0x0     |  0.051   |
|   WRITE   |    0    |     JMP5LO     |          |    0x0     |  0.052   |
|   WRITE   |    0    |     JMP5HI     |          |    0x0     |  0.052   |
|   WRITE   |    0    |     JMP6LO     |          |    0x0     |  0.052   |
|   WRITE   |    0    |     JMP6HI     |          |    0x0     |  0.052   |
|   WRITE   |    0    |     JMP7LO     |          |    0x0     |  0.052   |
|   WRITE   |    0    |     JMP7HI     |          |    0x0     |  0.051   |
| RAM-WRITE |    0    |                |  0x63d   |    0x0     |  0.068   |
| RAM-WRITE |    0    |                |  0x63e   |    0x0     |  0.289   |
| RAM-WRITE |    0    |                |  0x63f   |    0x0     |  0.286   |
| RAM-WRITE |    0    |                |  0x640   |    0x0     |  0.285   |
| RAM-WRITE |    0    |                |  0x641   |    0x0     |  0.287   |
| RAM-WRITE |    0    |                |  0x642   |    0x0     |  0.284   |
| RAM-WRITE |    0    |                |  0x643   |    0x0     |  0.290   |
| RAM-WRITE |    0    |                |  0x644   |    0x0     |  0.285   |
| RAM-WRITE |    0    |                |  0x54e   |    0x0     |  0.354   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.318   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10818600 |  0.330   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.284   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10958600 |  0.283   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.283   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10e58600 |  0.283   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.283   |
| RAM-WRITE |    0    |                |  0x54f   | 0x112d8600 |  0.286   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.283   |
| RAM-WRITE |    0    |                |  0x54f   | 0x11518600 |  0.283   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.283   |
| RAM-WRITE |    0    |                |  0x54f   | 0x11618600 |  0.283   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.282   |
| RAM-WRITE |    0    |                |  0x54f   | 0x11b98600 |  0.282   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.282   |
| RAM-WRITE |    0    |                |  0x54f   | 0x11e58600 |  0.282   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.282   |
| RAM-WRITE |    0    |                |  0x54f   | 0x12218600 |  0.282   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.282   |
| RAM-WRITE |    0    |                |  0x54f   | 0x126d8600 |  0.283   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.319   |
| RAM-WRITE |    0    |                |  0x54f   | 0x127d8600 |  0.285   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.284   |
| RAM-WRITE |    0    |                |  0x54f   | 0x12898600 |  0.284   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.283   |
| RAM-WRITE |    0    |                |  0x54f   | 0x12998600 |  0.282   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.284   |
| RAM-WRITE |    0    |                |  0x54f   | 0x12a58600 |  0.284   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.282   |
| RAM-WRITE |    0    |                |  0x54f   | 0x15ed8600 |  0.283   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.283   |
| RAM-WRITE |    0    |                |  0x54f   | 0x16058600 |  0.283   |
| RAM-WRITE |    0    |                |  0x54f   |  0x5c000   |  0.283   |
| RAM-WRITE |    0    |                |  0x54f   | 0xf018000  |  0.284   |
| RAM-WRITE |    0    |                |  0x54f   | 0xdccd000  |  0.283   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.283   |
| RAM-WRITE |    0    |                |  0x54f   | 0xefd8000  |  0.292   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1108ca00 |  0.282   |
| RAM-WRITE |    0    |                |  0x54f   | 0xc834400  |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1078ea00 |  0.281   |
| RAM-WRITE |    0    |                |  0x54f   | 0x45dca00  |  0.281   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10d58600 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0xadb4400  |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1078ea00 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x45dc000  |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10bd8600 |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x176c0a00 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0xadf4400  |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0xc6f6a00  |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x45dc200  |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10d58600 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x176c0a00 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1078ca00 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x16b0ca00 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x3a50400  |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1e9d8200 |  0.291   |
| RAM-WRITE |    0    |                |  0x54f   | 0xdf40a00  |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x1108ca00 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0xdf34400  |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0xdf4ea00  |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x45dca00  |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x11218600 |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000400 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x469c000  |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x11158600 |  0.279   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000800 |  0.281   |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x111d8600 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10000400 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x10002000 |  0.280   |
| RAM-WRITE |    0    |                |  0x54f   | 0x14800a00 |  0.280   |
