+-----------+---------+----------------+----------+------------+
|   OPCODE  | CHANNEL |      REG       | RAM ADDR |  RAW DATA  |
+-----------+---------+----------------+----------+------------+
|    READ   |    0    |      IRQ2      |          |   0xffff   |
|    READ   |    1    |      IRQ2      |          |   0xffff   |
|    READ   |    0    |     ID(g)      |          |   0xcbcb   |
|   WRITE   |    0    |    PCMRXLO     |          |   0x5a5a   |
|    READ   |    0    |    PCMRXLO     |          |   0x5a5a   |
|    READ   |    1    |     ID(g)      |          |   0xcbcb   |
|   WRITE   |    1    |    PCMRXLO     |          |   0x5a5a   |
|    READ   |    1    |    PCMRXLO     |          |   0x5a5a   |
|    READ   |    0    |     ID(g)      |          |   0xcbcb   |
|    READ   |    0    |    ENHANCE     |          |   0x1010   |
|   WRITE   |    0    |    PCMTXHI     |          |   0x1313   |
|    READ   |    0    |    PCMTXHI     |          |   0x1313   |
|    READ   |    1    |     ID(g)      |          |   0xcbcb   |
|    READ   |    1    |    ENHANCE     |          |   0x1010   |
|   WRITE   |    1    |    PCMTXHI     |          |   0x1313   |
|    READ   |    1    |    PCMTXHI     |          |   0x1313   |
|   WRITE   |    0    |  MSTRSTAT(g)   |          |   0xffff   |
|    READ   |    0    |  MSTRSTAT(g)   |          |   0x1f1f   |
|   WRITE   |    0    |    PCMTXHI     |          |   0x1313   |
|    READ   |    0    |    PCMTXHI     |          |   0x1313   |
| RAM-WRITE |    0    |                |  0x1c1   | 0x12345678 |
|  RAM-READ |    0    |                |  0x1c1   | 0x12345678 |
|   WRITE   |    1    |  MSTRSTAT(g)   |          |   0xffff   |
|    READ   |    1    |  MSTRSTAT(g)   |          |   0x1f1f   |
|   WRITE   |    1    |    PCMTXHI     |          |   0x1313   |
|    READ   |    1    |    PCMTXHI     |          |   0x1313   |
| RAM-WRITE |    1    |                |  0x1c1   | 0x12345678 |
|  RAM-READ |    1    |                |  0x1c1   | 0x12345678 |
|    READ   |    0    | Unknown (0x7e) |          |   0x202    |
|   WRITE   |    0    | Unknown (0x7e) |          |   0x202    |
|   WRITE   |    0    | Unknown (0x7e) |          |   0x808    |
|   WRITE   |    0    | Unknown (0x7e) |          |   0xe0e    |
|   WRITE   |    0    | Unknown (0x7e) |          |    0x0     |
|   WRITE   |    0    |     JMPEN      |          |    0x0     |
|   WRITE   |    0    |     JMP0LO     |          |    0x0     |
|   WRITE   |    0    |     JMP0HI     |          |    0x0     |
|   WRITE   |    0    |     JMP1LO     |          |    0x0     |
|   WRITE   |    0    |     JMP1HI     |          |    0x0     |
|   WRITE   |    0    |     JMP2LO     |          |    0x0     |
|   WRITE   |    0    |     JMP2HI     |          |    0x0     |
|   WRITE   |    0    |     JMP3LO     |          |    0x0     |
|   WRITE   |    0    |     JMP3HI     |          |    0x0     |
|   WRITE   |    0    |     JMP4LO     |          |    0x0     |
|   WRITE   |    0    |     JMP4HI     |          |    0x0     |
|   WRITE   |    0    |     JMP5LO     |          |    0x0     |
|   WRITE   |    0    |     JMP5HI     |          |    0x0     |
|   WRITE   |    0    |     JMP6LO     |          |    0x0     |
|   WRITE   |    0    |     JMP6HI     |          |    0x0     |
|   WRITE   |    0    |     JMP7LO     |          |    0x0     |
|   WRITE   |    0    |     JMP7HI     |          |    0x0     |
| RAM-WRITE |    0    |                |  0x63d   |    0x0     |
| RAM-WRITE |    0    |                |  0x63e   |    0x0     |
| RAM-WRITE |    0    |                |  0x63f   |    0x0     |
| RAM-WRITE |    0    |                |  0x640   |    0x0     |
| RAM-WRITE |    0    |                |  0x641   |    0x0     |
| RAM-WRITE |    0    |                |  0x642   |    0x0     |
| RAM-WRITE |    0    |                |  0x643   |    0x0     |
| RAM-WRITE |    0    |                |  0x644   |    0x0     |
| RAM-WRITE |    0    |                |  0x54e   |    0x0     |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10818600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
| RAM-WRITE |    0    |                |  0x54f   | 0x10958600 |
| RAM-WRITE |    0    |                |  0x54f   | 0x451ca00  |
